seq_id,print_id,tile_id,saturated
0,SI266220200309225433,0,0
1,SI266220200309225433,1,0
2,SI266220200309225433,2,0
3,SI266220200309225433,3,5639
4,SI266220200309225433,4,668
5,SI266220200309225433,5,0
6,SI266220200309225433,6,0
7,SI266220200309225433,7,4555
8,SI266220200309225433,8,0
9,SI266220200309225433,9,1712
10,SI266220200309225433,10,787
11,SI266220200309225433,11,0
12,SI266220200309225433,12,5
13,SI266220200309225433,13,0
14,SI266220200309225433,14,0
15,SI266220200309225433,15,0
16,SI266220200309225433,0,0
17,SI266220200309225433,1,0
18,SI266220200309225433,2,0
19,SI266220200309225433,3,348
20,SI266220200309225433,4,0
21,SI266220200309225433,5,0
22,SI266220200309225433,6,0
23,SI266220200309225433,7,298
24,SI266220200309225433,8,0
25,SI266220200309225433,9,0
26,SI266220200309225433,10,0
27,SI266220200309225433,11,0
28,SI266220200309225433,12,0
29,SI266220200309225433,13,0
30,SI266220200309225433,14,0
31,SI266220200309225433,15,0
32,SI266220200309225433,0,0
33,SI266220200309225433,1,0
34,SI266220200309225433,2,0
35,SI266220200309225433,3,1253
36,SI266220200309225433,4,0
37,SI266220200309225433,5,0
38,SI266220200309225433,6,0
39,SI266220200309225433,7,113
40,SI266220200309225433,8,0
41,SI266220200309225433,9,0
42,SI266220200309225433,10,0
43,SI266220200309225433,11,0
44,SI266220200309225433,12,0
45,SI266220200309225433,13,0
46,SI266220200309225433,14,0
47,SI266220200309225433,15,0
48,SI266220200309225433,0,0
49,SI266220200309225433,1,0
50,SI266220200309225433,2,77
51,SI266220200309225433,3,6667
52,SI266220200309225433,4,0
53,SI266220200309225433,5,129
54,SI266220200309225433,6,0
55,SI266220200309225433,7,2895
56,SI266220200309225433,8,0
57,SI266220200309225433,9,358
58,SI266220200309225433,10,4
59,SI266220200309225433,11,0
60,SI266220200309225433,12,0
61,SI266220200309225433,13,0
62,SI266220200309225433,14,0
63,SI266220200309225433,15,0
64,SI266220200309225433,0,0
65,SI266220200309225433,1,0
66,SI266220200309225433,2,0
67,SI266220200309225433,3,268
68,SI266220200309225433,4,0
69,SI266220200309225433,5,0
70,SI266220200309225433,6,0
71,SI266220200309225433,7,91
72,SI266220200309225433,8,0
73,SI266220200309225433,9,0
74,SI266220200309225433,10,0
75,SI266220200309225433,11,0
76,SI266220200309225433,12,0
77,SI266220200309225433,13,0
78,SI266220200309225433,14,0
79,SI266220200309225433,15,0
80,SI266220200309225433,0,0
81,SI266220200309225433,1,0
82,SI266220200309225433,2,0
83,SI266220200309225433,3,396
84,SI266220200309225433,4,0
85,SI266220200309225433,5,0
86,SI266220200309225433,6,0
87,SI266220200309225433,7,727
88,SI266220200309225433,8,0
89,SI266220200309225433,9,0
90,SI266220200309225433,10,0
91,SI266220200309225433,11,0
92,SI266220200309225433,12,0
93,SI266220200309225433,13,0
94,SI266220200309225433,14,0
95,SI266220200309225433,15,0
96,SI266220200309225433,0,0
97,SI266220200309225433,1,0
98,SI266220200309225433,2,0
99,SI266220200309225433,3,7571
100,SI266220200309225433,4,0
101,SI266220200309225433,5,0
102,SI266220200309225433,6,0
103,SI266220200309225433,7,3084
104,SI266220200309225433,8,0
105,SI266220200309225433,9,6
106,SI266220200309225433,10,0
107,SI266220200309225433,11,0
108,SI266220200309225433,12,0
109,SI266220200309225433,13,0
110,SI266220200309225433,14,0
111,SI266220200309225433,15,0
112,SI266220200309225433,0,0
113,SI266220200309225433,1,0
114,SI266220200309225433,2,0
115,SI266220200309225433,3,1583
116,SI266220200309225433,4,0
117,SI266220200309225433,5,0
118,SI266220200309225433,6,0
119,SI266220200309225433,7,0
120,SI266220200309225433,8,0
121,SI266220200309225433,9,0
122,SI266220200309225433,10,0
123,SI266220200309225433,11,0
124,SI266220200309225433,12,0
125,SI266220200309225433,13,0
126,SI266220200309225433,14,0
127,SI266220200309225433,15,0
128,SI266220200309225433,0,0
129,SI266220200309225433,1,0
130,SI266220200309225433,2,0
131,SI266220200309225433,3,2418
132,SI266220200309225433,4,0
133,SI266220200309225433,5,0
134,SI266220200309225433,6,0
135,SI266220200309225433,7,918
136,SI266220200309225433,8,0
137,SI266220200309225433,9,0
138,SI266220200309225433,10,26
139,SI266220200309225433,11,0
140,SI266220200309225433,12,0
141,SI266220200309225433,13,0
142,SI266220200309225433,14,0
143,SI266220200309225433,15,0
144,SI266220200309225433,0,0
145,SI266220200309225433,1,0
146,SI266220200309225433,2,0
147,SI266220200309225433,3,832
148,SI266220200309225433,4,0
149,SI266220200309225433,5,0
150,SI266220200309225433,6,0
151,SI266220200309225433,7,265
152,SI266220200309225433,8,0
153,SI266220200309225433,9,6
154,SI266220200309225433,10,26
155,SI266220200309225433,11,0
156,SI266220200309225433,12,0
157,SI266220200309225433,13,0
158,SI266220200309225433,14,0
159,SI266220200309225433,15,0
