seq_id,print_id,tile_id,P1,dP1,P2,dP2,P3,dP3,P4,dP4,P5,dP5
0,SI266220200309225433,0,(),,(),,(),,(),,(),
1,SI266220200309225433,1,(),,(),,(),,(),,(),
2,SI266220200309225433,2,(),,(),,(),,(),,(),
3,SI266220200309225433,3,(),,(),,(),,(),,(),
4,SI266220200309225433,4,(),,(),,(),,(),,(),
5,SI266220200309225433,5,(),,(),,(),,(),,(),
6,SI266220200309225433,6,(),,(),,(),,(),,(),
7,SI266220200309225433,7,(),,(),,(),,(),,(),
8,SI266220200309225433,8,(),,(),,(),,(),,(),
9,SI266220200309225433,9,(),,(),,(),,(),,(),
10,SI266220200309225433,10,(),,(),,(),,(),,(),
11,SI266220200309225433,11,(),,(),,(),,(),,(),
12,SI266220200309225433,12,(),,(),,(),,(),,(),
13,SI266220200309225433,13,(),,(),,(),,(),,(),
14,SI266220200309225433,14,(),,(),,(),,(),,(),
15,SI266220200309225433,15,(),,(),,(),,(),,(),
16,SI266220200309225433,0,(),,(),,(),,(),,(),
17,SI266220200309225433,1,(),,(),,(),,(),,(),
18,SI266220200309225433,2,(),,(),,(),,(),,(),
19,SI266220200309225433,3,(),,(),,(),,(),,(),
20,SI266220200309225433,4,(),,(),,(),,(),,(),
21,SI266220200309225433,5,(),,(),,(),,(),,(),
22,SI266220200309225433,6,(),,(),,(),,(),,(),
23,SI266220200309225433,7,(),,(),,(),,(),,(),
24,SI266220200309225433,8,(),,(),,(),,(),,(),
25,SI266220200309225433,9,(),,(),,(),,(),,(),
26,SI266220200309225433,10,(),,(),,(),,(),,(),
27,SI266220200309225433,11,(),,(),,(),,(),,(),
28,SI266220200309225433,12,(),,(),,(),,(),,(),
29,SI266220200309225433,13,(),,(),,(),,(),,(),
30,SI266220200309225433,14,(),,(),,(),,(),,(),
31,SI266220200309225433,15,(),,(),,(),,(),,(),
32,SI266220200309225433,0,(),,(),,(),,(),,(),
33,SI266220200309225433,1,(),,(),,(),,(),,(),
34,SI266220200309225433,2,(),,(),,(),,(),,(),
35,SI266220200309225433,3,(498;94),11481.09,(498;93),11025.23,(498;95),9803.44,(383;168),9428.14,(499;94),9403.11
36,SI266220200309225433,4,(272;346),7343.61,(271;345),7310.98,(425;369),7290.72,(272;345),7273.50,(425;368),7248.72
37,SI266220200309225433,5,(),,(),,(),,(),,(),
38,SI266220200309225433,6,(1;252),6453.09,(),,(),,(),,(),
39,SI266220200309225433,7,(1;94),11652.41,(1;95),11170.85,(1;93),10661.02,(1;96),10463.98,(1;97),9850.08
40,SI266220200309225433,8,(468;326),6157.22,(),,(),,(),,(),
41,SI266220200309225433,9,(169;498),11962.29,(170;498),11384.92,(168;498),10852.99,(167;498),9209.76,(169;497),9206.60
42,SI266220200309225433,10,(169;1),11429.22,(170;1),11294.87,(168;1),10217.43,(161;1),9596.01,(160;1),9538.26
43,SI266220200309225433,11,(),,(),,(),,(),,(),
44,SI266220200309225433,12,(),,(),,(),,(),,(),
45,SI266220200309225433,13,(),,(),,(),,(),,(),
46,SI266220200309225433,14,(),,(),,(),,(),,(),
47,SI266220200309225433,15,(),,(),,(),,(),,(),
48,SI266220200309225433,0,(),,(),,(),,(),,(),
49,SI266220200309225433,1,(),,(),,(),,(),,(),
50,SI266220200309225433,2,(498;168),13504.54,(498;167),13127.61,(498;169),12846.05,(498;170),12312.78,(498;183),11909.25
51,SI266220200309225433,3,(498;179),13536.33,(498;178),13163.72,(498;167),13073.20,(498;160),12884.76,(498;173),12864.72
52,SI266220200309225433,4,(188;347),6680.70,(187;347),6589.65,(189;347),6050.14,(),,(),
53,SI266220200309225433,5,(349;469),13262.06,(349;468),13180.84,(348;469),12338.27,(350;469),12335.77,(349;467),12305.72
54,SI266220200309225433,6,(1;167),14454.51,(1;168),14445.38,(1;169),13574.68,(1;166),12544.25,(1;170),12543.86
55,SI266220200309225433,7,(1;148),13432.90,(1;160),13375.25,(1;179),13237.82,(1;173),13182.80,(1;178),13182.64
